iteration,type,step,episode_return,num_episodes,step_rate,duration
0,R2D2-actor0,250000,-20.726666666666667,300,100.87947550641276,2478.204795821999
0,R2D2-actor1,250000,-20.82838283828383,303,100.47824870515302,2488.100690663996
0,R2D2-actor2,250000,-20.845394736842106,304,100.23461857875937,2494.1482647890007
0,R2D2-actor3,250000,-20.889250814332247,307,100.10183781850482,2497.456644635
0,R2D2-actor4,250000,-20.916129032258066,310,99.97058680834368,2500.7355461390034
0,R2D2-actor5,250000,-20.903846153846153,312,99.905568316516,2502.3630235300006
0,R2D2-actor6,250000,-20.914285714285715,315,99.8384697212569,2504.044790529995
0,R2D2-actor7,250000,-20.92721518987342,316,99.81112718221299,2504.7307555559964
0,R2D2-actor8,250000,-20.937304075235108,319,99.78765009898059,2505.320044635002
0,R2D2-actor9,250000,-20.949685534591193,318,99.79169320186747,2505.218540527996
0,R2D2-actor10,250000,-20.956656346749227,323,99.78235129569634,2505.4530861790045
0,R2D2-actor11,250000,-20.94392523364486,321,99.78461122491962,2505.3963424930043
0,R2D2-actor12,250000,-20.96273291925466,322,99.80103310497016,2504.9840890630003
0,R2D2-actor13,250000,-20.984520123839008,323,99.83080458007936,2504.2370544000005
0,R2D2-actor14,250000,-20.969135802469136,324,99.85258009278569,2503.6909388589993
0,R2D2-actor15,250000,-20.97222222222222,324,99.89119505087885,2502.723086580998
0,R2D2-actor16,250000,-20.96904024767802,323,99.93486084407358,2501.629540367001
0,R2D2-actor17,250000,-20.981538461538463,325,99.98007814047565,2500.498145728001
0,R2D2-actor18,250000,-20.966153846153848,325,100.02385374329384,2499.403798633997
0,R2D2-actor19,250000,-20.981424148606813,323,100.06412254229588,2498.3979637090015
0,evaluation,100000,-20.99230769230769,130,1011.5056919993099,98.86251831400295
