iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
0,20000,-19.7558886509636,467,188.7191985026718,2649.4389758280013,-13.88888888888889,9,1054.6446813851342,18.963732859992888
1,20000,-14.63671875,256,143.51256916545498,3484.015392572008,-8.428571428571429,7,1060.580719299218,18.857593426000676
2,20000,-4.253246753246753,154,135.5667938192059,3688.218817557994,1.3333333333333333,6,1120.5408966548387,17.848523029999342
