iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
0,20000,-18.922600619195048,323,172.20710652455807,2903.4806407870055,-10.714285714285714,7,1168.8725007930923,17.110506052995333
1,20000,2.8473282442748094,131,132.7355243915388,3766.889099900014,9.2,5,1180.5650297735472,16.94104051501199
2,20000,12.301775147928995,169,131.64805053720417,3798.0053480450006,15.25,8,1148.3487681337294,17.416311624998343
